Number,Make,Model,Year,Trim,Hash,URL,Gross weight,Maximum Payload,Curb Weight,Length,Wheelbase,Maximum towing capacity,Combined MPG,Drive Type,Total Seating,Cargo Capacity,Basic Warranty,Country of final assembly,Electric Range,Home Charging Time (240V),Overall width without mirrors,Overall width with mirrors,Height,EPA interior volume,"Cargo capacity, all seats in place",Maximum cargo capacity,Turning circle,Angle of approach,Angle of departure,Ground clearance,Manufacturer 0-60 mph acceleration time,Versahaul,Trim Count,Trim Number
88,Acura,RDX,2023,,0b8acb45af836ee5ed21477aa4eedc3e0520f33c3c4642aeef7556f0bfefd8a6,https://www.edmunds.com/acura/rdx/2023/,,,,,,,24 MPG,,,,,,,,,,,,,,,,,,,0,,
370,Audi,A4,2025,"Premium S line 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM) - $44,100",697c4a1943b62d9f7e7cb679b9e392bb8700f6ed5b92b93bb55ead16089856cf,https://www.edmunds.com/audi/a4/2025/st-402047411/features-specs/,"4,850 lbs.","1,014 lbs.","3,682 lbs.",187.5 in.,111.0 in.,,26 MPG,all wheel drive,5,12.0 cu.ft.,"4 yr./ 50,000 mi.",Germany,,,72.7 in.,79.6 in.,56.2 in.,,12.0 cu.ft.,,38.1 ft.,,,,5.2 seconds,5,,
370,Audi,A4,2025,"Premium Plus S line 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM) - $48,600 (Most Popular)",f2462b98ad71713937e02d5d2da0013124252be5dbbb0d4a176a9cbcd16d2082,https://www.edmunds.com/audi/a4/2025/st-402047411/features-specs/,"4,850 lbs.","1,014 lbs.","3,682 lbs.",187.5 in.,111.0 in.,,26 MPG,all wheel drive,5,12.0 cu.ft.,"4 yr./ 50,000 mi.",Germany,,,72.7 in.,79.6 in.,56.2 in.,,12.0 cu.ft.,,38.1 ft.,,,,5.2 seconds,5,,
400,Audi,A4_allroad,2025,"Premium 4dr Wagon AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM) - $47,600 (Most Popular)",a54607cf176c308404a7b8481b0edb5f7dbf731433ab8dd51746785857bfd0cc,https://www.edmunds.com/audi/a4-allroad/2025/st-402047650/features-specs/,"5,016 lbs.","1,058 lbs.","3,847 lbs.",187.5 in.,110.9 in.,,26 MPG,all wheel drive,5,24.2 cu.ft.,"4 yr./ 50,000 mi.",Germany,,,72.7 in.,79.6 in.,58.8 in.,,24.2 cu.ft.,58.5 cu.ft.,38.4 ft.,,,6.5 in.,5.5 seconds,5,,
400,Audi,A4_allroad,2025,"Premium Plus 4dr Wagon AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM) - $52,100",6c4e1c8d0b12ec07f01643d9ed64f00aca109fa555dda9b9a80bd39d1f7fe34f,https://www.edmunds.com/audi/a4-allroad/2025/st-402047650/features-specs/,"5,016 lbs.","1,058 lbs.","3,847 lbs.",187.5 in.,110.9 in.,,26 MPG,all wheel drive,5,24.2 cu.ft.,"4 yr./ 50,000 mi.",Germany,,,72.7 in.,79.6 in.,58.8 in.,,24.2 cu.ft.,58.5 cu.ft.,38.4 ft.,,,6.5 in.,5.5 seconds,5,,
400,Audi,A4_allroad,2025,"Prestige 4dr Wagon AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM) - $55,800",e70a4c7f1071573236cbec320c42d4f2871416eafef923be3384d12c841b3d7c,https://www.edmunds.com/audi/a4-allroad/2025/st-402047650/features-specs/,"5,016 lbs.","1,058 lbs.","3,847 lbs.",187.5 in.,110.9 in.,,26 MPG,all wheel drive,5,24.2 cu.ft.,"4 yr./ 50,000 mi.",Germany,,,72.7 in.,79.6 in.,58.8 in.,,24.2 cu.ft.,58.5 cu.ft.,38.4 ft.,,,6.5 in.,5.5 seconds,5,,
401,Audi,A4_allroad,2024,"Premium 4dr Wagon AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM) - $47,600",67755a3c893a75be4da213e5023c89ae4ac1a8eb7fd64b444a2abe3854bc29ae,https://www.edmunds.com/audi/a4-allroad/2024/st-402001216/features-specs/,,,"3,847 lbs.",187.5 in.,110.9 in.,,26 MPG,all wheel drive,5,24.2 cu.ft.,"4 yr./ 50,000 mi.",Germany,,,72.7 in.,79.6 in.,58.8 in.,,24.2 cu.ft.,58.5 cu.ft.,38.4 ft.,,,6.5 in.,5.5 seconds,3,,
401,Audi,A4_allroad,2024,"Premium Plus 4dr Wagon AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM) - $51,200 (Most Popular)",956d8d20c20d4c887062af40404a06a2b8934fe06ad27e99e7fed61876a8c650,https://www.edmunds.com/audi/a4-allroad/2024/st-402001216/features-specs/,,,"3,847 lbs.",187.5 in.,110.9 in.,,26 MPG,all wheel drive,5,24.2 cu.ft.,"4 yr./ 50,000 mi.",Germany,,,72.7 in.,79.6 in.,58.8 in.,,24.2 cu.ft.,58.5 cu.ft.,38.4 ft.,,,6.5 in.,5.5 seconds,3,,
401,Audi,A4_allroad,2024,"Prestige 4dr Wagon AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM) - $56,500",1369eabb316cb54b76c9383aede071549fe5f83cae95ab20b29756067024f948,https://www.edmunds.com/audi/a4-allroad/2024/st-402001216/features-specs/,,,"3,847 lbs.",187.5 in.,110.9 in.,,26 MPG,all wheel drive,5,24.2 cu.ft.,"4 yr./ 50,000 mi.",Germany,,,72.7 in.,79.6 in.,58.8 in.,,24.2 cu.ft.,58.5 cu.ft.,38.4 ft.,,,6.5 in.,5.5 seconds,3,,
402,Audi,A4_allroad,2023,"Premium 4dr Wagon AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM) - $45,900",b8aaf239d80579eecb497a22fb857b9e407f1dba212f24163fdcb255d2a888f5,https://www.edmunds.com/audi/a4-allroad/2023/st-401955709/features-specs/,"5,049 lbs.","1,058 lbs.","3,880 lbs.",187.5 in.,110.9 in.,,26 MPG,all wheel drive,5,24.2 cu.ft.,"4 yr./ 50,000 mi.",Germany,,,72.5 in.,79.6 in.,58.8 in.,,24.2 cu.ft.,58.4 cu.ft.,38.4 ft.,,,6.5 in.,5.5 seconds,5,,
